bill_id,title,proposer,party,committee,propose_date,status,link,summary,core_change,impact_direction,impact_detail,affected_occ,affected_age,affected_social,affected_region,keywords,urgency,analyzed_at,parse_failed
PRC_Q2R6Q0O5O0M4O0J9K2I8G2H5F3G1O8,도시형소공인 지원에 관한 특별법 일부개정법률안,오세희의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2R6Q0O5O0M4O0J9K2I8G2H5F3G1O8&ageFrom=22&ageTo=22,"디지털 전환과 산업 환경 변화에 맞춰 도시형 소공인을 체계적으로 지원하기 위한 법안입니다. 제조 데이터 활용, 경영 안정 지원, 생산 공정 개선 등을 통해 소규모 제조업의 경쟁력을 높이고 지속 가능한 성장 기반을 마련하고자 합니다.","제조 데이터의 개념을 명문화하고, 소공인 집적지구 전당기관 지정 및 공정 개선 지원 등 구체적인 정책 추진 근거를 신설합니다.",positive,"소규모 제조업체의 디지털 전환과 경영 안정, 기술 경쟁력 강화를 위한 법적·제도적 기반이 강화됩니다.",금속 성형 관련 기능직|섬유·의복·가죽 관련 기능직|목재·가구·악기 관련 기능직|기계 제조 장치·기계 조작직|전기·전자 장치·기계 조작직|식품가공 관련 기능직|기타 기능직,청년(19~34)|중장년(35~59),중소기업,도심|수도권|비수도권,제조데이터|디지털전환|도시형소공인,,2026-06-11T13:16:27.752909,0
PRC_E2F6D0L5M0K6L1J6K0I9I2Q9P5P8O0,조세특례제한법 일부개정법률안,문진석의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2F6D0L5M0K6L1J6K0I9I2Q9P5P8O0&ageFrom=22&ageTo=22,"공익사업으로 인해 토지를 내놓는 대신 건물이나 다른 토지로 보상받을 때, 양도소득세를 깎아주거나 나중에 내도록 하는 세금 혜택의 범위를 넓히고 그 기간을 3년 더 연장하는 내용입니다.","대토보상 세액 감면 대상을 기존 토지에서 건축물 등으로 확대하고, 해당 특례의 일몰 기한을 3년 연장합니다.",positive,공익사업 보상 대상자가 받을 수 있는 양도소득세 감면 혜택이 확대되어 세금 부담이 경감됩니다.,농업 숙련직|임업 숙련직|어업 숙련직,중장년(35~59)|노년(60+),자가소유자,수도권|비수도권|농어촌|도심|지방중소도시,대토보상|양도소득세 감면|공익사업|세액감면 연장,,2026-06-11T13:17:37.485311,0
PRC_T2S6S0R3N3M1K1L7K5S9Q1P6Q8O3W6,지방자치분권 및 균형성장에 관한 특별법 일부개정법률안,박정현의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2S6S0R3N3M1K1L7K5S9Q1P6Q8O3W6&ageFrom=22&ageTo=22,"혁신도시로 지정되었으나 아직 공공기관이 들어오지 않은 지역에, 향후 이전할 공공기관을 우선적으로 배치하여 지역 균형 발전을 촉진하려는 법안입니다.",혁신도시 지정 후 5년 동안 공공기관이 이전하지 않은 지역에 대해 공공기관 이전을 우선적으로 추진하도록 규정합니다.,positive,공공기관의 지방 이전을 가속화하여 비수도권 지역의 경제 활성화와 균형 발전에 기여할 수 있습니다.,공공·기업 고위직|행정·경영지원 관리직|전문서비스 관리직|법률·행정 전문직|경영·회계 관련 사무직|기타 사무직,청년(19~34)|중장년(35~59),중소기업,비수도권|지방중소도시,공공기관 이전|혁신도시|지역 균형 발전,,2026-06-11T13:18:32.931018,0
PRC_N2W6W0U5T1U5S1S2A5B8Z4Y4Y4W4X2,코로나바이러스감염증-19 예방접종 피해보상 등에 관한 특별법 일부개정법률안,나경원의원 등 32인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2W6W0U5T1U5S1S2A5B8Z4Y4Y4W4X2&ageFrom=22&ageTo=22,"코로나19 백신 접종 후 부작용을 겪는 분들을 위해, 단순 의료비 지원을 넘어 생활·교육·취업 등 종합적인 지원을 제공하고 인과관계 인정 기준을 완화하여 더 실질적인 보상을 받을 수 있도록 하는 법안입니다.","백신 부작용 피해자에 대한 지원 범위를 보훈 대상자 수준으로 확대하고, 기저질환이나 자료 부족을 이유로 인과관계가 부정되지 않도록 기준을 명확히 합니다.",positive,부작용 피해자의 입증 책임을 완화하고 지원 체계를 넓혀 실질적인 구제 가능성을 높입니다.,,아동(0~12)|청소년(13~18)|청년(19~34)|중장년(35~59)|노년(60+),취약계층|장애인,서울|수도권|비수도권|농어촌|도심|지방중소도시,코로나19 백신|부작용 보상|생활지원금,,2026-06-11T13:20:02.509071,0
PRC_N2O6W0W4V1T6U1S4T0B9Z4A0Y1Z1X3,관광진흥법 일부개정법률안,이춘석의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2O6W0W4V1T6U1S4T0B9Z4A0Y1Z1X3&ageFrom=22&ageTo=22,성수기나 대규모 행사 시 숙박업자가 가격을 과도하게 올리거나 예약을 일방적으로 취소하는 불공정 행위를 막기 위한 법안입니다. 숙박 요금 신고를 의무화하고 부당한 예약 취소 시 제재 근거를 마련하여 관광객의 권익을 보호합니다.,"관광숙박업자의 요금 사전 신고 및 게시 의무를 신설하고, 정당한 사유 없는 예약 취소나 부정 판매에 대한 행정처분 근거를 마련합니다.",positive,숙박 요금의 투명성을 높이고 부당한 예약 취소로부터 관광객을 보호할 수 있습니다.,판매·고객서비스 관리직|운송·여가 서비스직,아동(0~12)|청소년(13~18)|청년(19~34)|중장년(35~59)|노년(60+),중소기업,수도권|비수도권|도심|지방중소도시,관광숙박업|숙박요금|예약취소|불공정행위|관광객보호,,2026-06-11T13:21:18.127761,0
PRC_G2H6P0O3S3A1B1A1Y1X5F5E2D0D4C8,이러닝(전자학습)산업 발전 및 이러닝 활용 촉진에 관한 법률 전부개정법률안,정진욱의원 등 15인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2H6P0O3S3A1B1A1Y1X5F5E2D0D4C8&ageFrom=22&ageTo=22,"기존의 이러닝 산업법을 '에듀테크산업 진흥법'으로 확대 개편하여, AI와 빅데이터 등 첨단 기술이 접목된 에듀테크 산업을 체계적으로 육성하고 교육의 질을 높이려는 법안입니다.","기존 이러닝 중심의 법적 범위를 AI, VR/AR 등 첨단 정보통신기술이 포함된 에듀테크 산업 전반으로 확대하고 관련 지원 체계를 구축합니다.",positive,첨단 기술 기반의 교육 서비스 발전을 통해 산업 경쟁력을 강화하고 학습자에게 양질의 맞춤형 교육 기회를 제공할 수 있습니다.,과학 전문가 및 관련직|정보통신 전문가 및 기술직|공학 전문가 및 기술직|교육 전문가 및 관련직|경영·금융 전문가 및 관련직,아동(0~12)|청소년(13~18)|청년(19~34),중소기업|학부모|장애인,수도권|비수도권|도심,에듀테크|첨단기술교육|산업진흥,,2026-06-11T13:22:27.525297,0
PRC_R2R6N0K5U2R2Q1Y0V4V1D3C2B4H6F0,대부업 등의 등록 및 금융이용자 보호에 관한 법률 일부개정법률안,김영환의원 등 13인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2R6N0K5U2R2Q1Y0V4V1D3C2B4H6F0&ageFrom=22&ageTo=22,"법정 최고이자율을 넘는 고금리 계약이나 불법 사금융업자와의 대출 계약 전체를 무효로 만들어, 서민들의 과도한 채무 부담을 막고 불법 대부업을 근절하려는 법안입니다.","최고이자율 초과 시 이자뿐만 아니라 대출 계약 전체를 무효화하고, 불법 사금융업자와의 계약 자체도 무효로 규정합니다.",positive,불법 고금리 대출의 수익 구조를 차단하여 채무자의 원금 상환 부담을 줄이고 금융 질서를 바로잡을 수 있습니다.,영업직|판매직|운전·운송 관련직|가사·음식·판매 단순 노무직|청소·경비 단순 노무직,청년(19~34)|중장년(35~59)|노년(60+),취약계층|저소득층|1인가구,서울|수도권|비수도권|농어촌|도심|지방중소도시,고금리 대출|불법 사금융|계약 무효|채무자 보호,,2026-06-11T13:23:42.989324,0
PRC_C2Z6Y0O5I2H7G1F2N4M4J3R7J9G3F6,고용보험법 일부개정법률안,박홍배의원 등 14인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2Z6Y0O5I2H7G1F2N4M4J3R7J9G3F6&ageFrom=22&ageTo=22,"스스로 직장을 그만둔 청년들이 생애 딱 한 번은 실업급여를 받을 수 있도록 하여, 자신에게 더 잘 맞는 일자리를 찾을 수 있게 도와주는 법안입니다.",자발적 이직을 한 청년 피보험자에 대해 생애 1회에 한해 구직급여 수급 자격을 확대합니다.,positive,청년들의 원활한 직업 탐색과 노동시장 이동을 지원하여 재취업의 안정성을 높입니다.,경영·회계 관련 사무직|기타 사무직|영업직|판매직|전문서비스 관리직,청년(19~34),,,고용보험|실업급여|청년지원|자발적 이직,,2026-06-11T13:25:04.951365,0
PRC_Y2F6D0D6L0K2J1K6J3I6H5P9M3L4T4,대한민국과 미합중국 간의 범죄 예방과 대처를 위한 협력 증진에 관한 협정의 이행에 관한 특별법안,김건의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2F6D0D6L0K2J1K6J3I6H5P9M3L4T4&ageFrom=22&ageTo=22,"한미 양국이 범죄 예방을 위해 성명, 지문 등 형사 개인정보를 실시간으로 교환할 수 있는 법적 근거와 절차를 마련하는 법안입니다. 이를 통해 테러 및 강력범죄에 공동 대응하고 미국의 비자 면제 혜택을 안정적으로 유지하고자 합니다.","한미 간 범죄 정보(성명, 지문 등)의 실시간 교환을 위한 전산 시스템 구축과 정보 제공 범위 및 관리 절차를 구체화합니다.",positive,"강력범죄 및 테러에 대한 국제적 대응력을 높이고, 미국의 비자 면제 프로그램 지위를 안정적으로 유지할 수 있습니다.",경찰·소방·보안 서비스직|법률·행정 전문직|정보통신 전문가 및 기술직,,,서울|수도권|비수도권|농어촌|도심|지방중소도시,한미협력|범죄예방|정보교환|비자면제프로그램|테러대응,,2026-06-11T13:26:22.715279,0
PRC_N2V6V0R5C2B2A1Z0H4E0D2Z2Y9X3F7,농어촌구조개선 특별회계법 일부개정법률안,김영환의원 등 16인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2V6V0R5C2B2A1Z0H4E0D2Z2Y9X3F7&ageFrom=22&ageTo=22,"농어촌 인구 감소와 지역 소멸 위기에 대응하기 위해, 농림어업인에게 기본소득을 지원할 수 있는 법적 근거를 마련하여 이들의 최소 생활을 보장하고 농어촌의 활력을 높이려는 법안입니다.",농어촌특별세 재원을 활용하는 사업 범위에 농림어업인의 기초생활 보장을 위한 기본소득 지원을 명시적으로 포함합니다.,positive,농림어업인의 소득 안정을 통해 경제적 어려움을 완화하고 농어촌 공동체의 지속 가능성을 높일 수 있습니다.,농업 숙련직|임업 숙린직|어업 숙련직,청년(19~34)|중장년(35~59)|노년(60+),취약계층|저소득층,비수도권|농어촌,농어촌특별세|기본소득|농림어업인|지방소멸,,2026-06-11T13:27:24.034967,0
PRC_W2C6A0Z5G2F7E1M2J4I8Q4O7N2K6T1,채용절차의 공정화에 관한 법률 일부개정법률안,박홍배의원 등 13인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2C6A0Z5G2F7E1M2J4I8Q4O7N2K6T1&ageFrom=22&ageTo=22,"채용이 확정된 구직자에게 임금, 직무 내용, 취업규칙 등 주요 근로조건을 3일 이내에 미리 알려주도록 하여, 입사 전후의 정보 불균형과 갈등을 줄이고 공정한 계약을 돕는 법안입니다.","채용 확정 후 3일 이내에 임금, 직무 예정 내용, 취업규칙 주요 사항 등 근로계약 관련 내용을 구직자에게 의무적으로 통보해야 합니다.",positive,구직자가 입사 전 근로조건을 명확히 인지할 수 있어 정보 비대칭을 해소하고 채용 후 발생할 수 있는 분쟁을 예방할 수 있습니다.,경영·회계 관련 사무직|기타 사무직|영업직|판매직|정보통신 전문가 및 기술직|법률·행정 전문직|경영·금융 전문가 및 관련직,청년(19~34)|중장년(35~59),취약계층|중소기업|대기업,서울|수도권|비수도권|도심|지방중소도시,채용절차|근로조건|임금공개|구직자 권익보호,,2026-06-11T13:28:24.461143,0
PRC_R2Q6Y0V5U2F2E1D0C4I2H1G1C4B1J6,이자제한법 일부개정법률안,김영환의원 등 13인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2Q6Y0V5U2F2E1D0C4I2H1G1C4B1J6&ageFrom=22&ageTo=22,"법정 최고이자율을 넘는 고금리 대출 계약 시, 이자뿐만 아니라 원금 상환 의무까지 모두 없애고 채권자를 처벌하여 불법 사채를 근절하려는 법안입니다.","최고이자율 초과 시 이자 약정만 무효였던 기존 방식에서, 대출 계약 전체를 무효로 하여 원금 반환 의무까지 소멸시키고 채권자를 처벌하도록 변경합니다.",positive,불법 고리대금업자의 원금 회수 권리를 박탈함으로써 불법 사채 시장을 억제하고 채무자를 보호할 수 있습니다.,경영·금융 전문가 및 관련직|금융 사무직,청년(19~34)|중장년(35~59)|노년(60+),취약계층|저소득층|1인가구,수도권|비수도권|도심|지방중소도시,최고이자율|불법사채|계약무효|원금반환의무소멸|고리대금근절,,2026-06-11T13:29:26.447147,0
PRC_X2D6C0K3K1H7P1N6N2M8U5S8Q2N3W4,에너지법 일부개정법률안,백선희의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2D6C0K3K1H7P1N6N2M8U5S8Q2N3W4&ageFrom=22&ageTo=22,"LPG나 등유를 사용하는 다자녀 가구도 전기·도시가스처럼 에너지 복지 혜택을 받을 수 있도록 법적 근거를 마련하여, 에너지원 종류에 따른 지원 격차를 줄이고 가계 부담을 덜어주는 내용입니다.",에너지 복지 사업 및 에너지 이용권 발급 대상에 다자녀 가구를 명시적으로 포함시켜 LPG나 등유 사용 가구도 지원받을 수 있게 합니다.,positive,에너지원별 복지 격차를 해소하고 다자녀 가구의 에너지 비용 부담을 완화합니다.,,아동(0~12)|청소년(13~18)|청년(19~34)|중장년(35~59),임신·육아,비수도권|농어촌|지방중소도시,다자녀가구|에너지복지|에너지이용권,,2026-06-11T13:30:22.621964,0
PRC_J2H6I0H3O1P2N1O0M3N0L5M4T8U5T6,조세특례제한법 일부개정법률안,박대출의원 등 11인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H6I0H3O1P2N1O0M3N0L5M4T8U5T6&ageFrom=22&ageTo=22,공익사업으로 인해 공장을 옮겨야 하는 기업의 세금 부담을 줄여주는 혜택의 종료 기한을 2026년에서 2029년까지 3년 더 연장하는 내용입니다.,공익사업 시행에 따른 공장 이전 시 적용되는 양도소득세 등의 세금 감면 특례 일몰 기한을 2026년 12월 31일에서 2029년 12월 31일로 3년 연장합니다.,positive,공장 이전을 해야 하는 기업들의 세금 부담을 계속 유지해줌으로써 경영 안정과 원활한 공익사업 수행을 돕습니다.,건설·생산 관련 관리직|경영·회계 관련 사무직,,중소기업,비수도권|농어촌|지방중소도시,공장 이전|세금 감면|일몰 연장|양도소득세,,2026-06-11T13:31:28.595442,0
PRC_A2I5J0H9I2G5F1F0B5B6Z5A4Z4Z2X2,응급의료에 관한 법률 일부개정법률안,허영의원 등 10인,,,2026-06-10,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2I5J0H9I2G5F1F0B5B6Z5A4Z4Z2X2&ageFrom=22&ageTo=22,응급환자를 이송할 때 병원이 환자 수용을 거부할 수 있는 '정당한 사유'를 법에 구체적으로 명시하는 내용입니다. 이를 통해 병원의 자의적인 진료 거부를 막고 응급환자가 더 신속하게 치료받을 수 있도록 합니다.,모호했던 응급의료 거부의 '정당한 사유'를 법률에 구체적으로 명시하여 판단 기준을 명확히 합니다.,positive,응급환자가 병원으로부터 부당하게 진료를 거부당하는 일을 방지하고 신속한 의료 서비스를 받을 수 있게 합니다.,보건 전문가 및 관련직|경찰·소방·보안 서비스직|돌봄·보건 서비스직,아동(0~12)|청소년(13~18)|청년(19~34)|중장년(35~59)|노년(60+),취약계층|장애인,서울|수도권|비수도권|농어촌|도심|지방중소도시,응급의료|진료거부 방지|정당한 사유,,2026-06-11T13:32:33.264426,0
PRC_Z2U6T0T4S0S7R1R3Z2A1Y5W3X7W6W9,취업 후 학자금 상환 특별법 일부개정법률안,조정훈의원 등 12인,,,2026-06-09,,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2U6T0T4S0S7R1R3Z2A1Y5W3X7W6W9&ageFrom=22&ageTo=22,대학 소재지와 관계없이 소득 기준(중위소득 200% 이하)을 충족하는 대학생이라면 모두 학자금 대출 이자를 면제받을 수 있도록 범위를 확대합니다.,비수도권 대학생에게만 적용되던 소득 기반 이자 면제 혜택을 수도권 대학생까지 확대하여 지역 간 차별을 해소하고자 합니다.,positive,수도권 저소득층 대학생의 경제적 부담을 완화하고 교육 기회의 형평성을 제고합니다.,,청년(19~34),저소득층|취약계층,수도권|비수도권,학자금 대출|이자 면제|교육 형평성,,2026-06-11T13:33:19.530301,0
